2017-11-29|山东矿机集团股份有限公司与翁牛特旗恒泰矿业有限公司、王敬连等采矿权转让合同纠纷一审民事判决书|采矿权转让合同纠纷|原告-山东矿机集团股份有限公司被告-翁牛特旗恒泰矿业有限公司|（2014）乐商初字第913号|https://www.tianyancha.com/lawsuit/c9eb3b6611b211e881ec008cfaf870e0
2017-06-28|ＸＸＸ、山东矿机集团股份有限公司管辖民事裁定书|-|被上诉人-山东矿机集团股份有限公司,翁牛特旗恒泰矿业有限公司|（2017）鲁07民辖终101号|https://www.tianyancha.com/lawsuit/4d49d14d978011e788a5008cfaf8725a
2016-04-05|山东矿机集团股份有限公司与翁牛特旗恒泰矿业有限公司探矿权转让合同纠纷一审民事判决书|探矿权转让合同纠纷|原告-山东矿机集团股份有限公司被告-翁牛特旗恒泰矿业有限公司|（2014）乐商初字第913号|https://www.tianyancha.com/lawsuit/6ea56e7cbf164a31a6d70d21949efa3e
2015-11-30|山东矿机集团股份有限公司与翁牛特旗恒泰矿业有限公司、招远市宏信实业有限公司等管辖裁定书|-|上诉人-翁牛特旗恒泰矿业有限公司被上诉人-山东矿机集团股份有限公司,招远市宏信实业有限公司,赤峰恒昌矿业有限公司|（2015）潍商辖终字第207号|https://www.tianyancha.com/lawsuit/1c06d9602a094703ad0b6bebfc69e178
2014-09-01|山东矿机集团股份有限公司与招远市宏信实业有限公司、翁牛特旗恒泰矿业有限公司探矿权转让合同纠纷、申请保全案件民事诉讼保全裁定书|探矿权转让合同纠纷|原告-山东矿机集团股份有限公司被告-招远市宏信实业有限公司,翁牛特旗恒泰矿业有限公司|（2014）乐商初字第913号|https://www.tianyancha.com/lawsuit/27e1c76cea5449b38c2798bba5b57d11
