2018-04-23|霍林郭勒宏鑫建筑器材租赁有限公司与霍林郭勒市永兴建设集团有限公司建筑设备租赁合同纠纷一审民事裁定书|建筑设备租赁合同纠纷|申请人-霍林郭勒宏鑫建筑器材租赁有限公司被申请人-霍林郭勒市永兴建设集团有限公司|（2017）内0581民初2179号|https://www.tianyancha.com/lawsuit/8488f9aa952811e8a8b47cd30ae00894
2018-04-18|中国农业银行股份有限公司霍林郭勒支行申请执行杨广军、李凤丽、霍林郭勒市永兴建设集团有限公司借款合同纠纷执行裁定书|借款合同纠纷|被执行人-霍林郭勒市永兴建设集团有限公司|（2017）内0581执838号之二|https://www.tianyancha.com/lawsuit/a1ce4559952911e8a8b47cd30ae00894
2018-04-16|霍林郭勒宏鑫建筑器材租赁有限公司与霍林郭勒市永兴建设集团有限公司建筑设备租赁合同纠纷一审民事裁定书|建筑设备租赁合同纠纷|原告-霍林郭勒宏鑫建筑器材租赁有限公司被告-霍林郭勒市永兴建设集团有限公司|（2018）内0581民初159号|https://www.tianyancha.com/lawsuit/693f69be952d11e8a8b47cd30ae00894
2018-04-16|霍林郭勒宏鑫建筑器材租赁有限公司与霍林郭勒市永兴建设集团有限公司、内蒙古永兴公司锦联铝材工程项目部建筑设备租赁合同纠纷一审民事判决书|建筑设备租赁合同纠纷|原告-霍林郭勒宏鑫建筑器材租赁有限公司被告-霍林郭勒市永兴建设集团有限公司|（2017）内0581民初118号|https://www.tianyancha.com/lawsuit/69425d30952d11e8a8b47cd30ae00894
2018-01-02|哈申高娃与王志宏、霍林郭勒市永兴建设集团有限公司等机动车交通事故责任纠纷一审民事判决书|机动车交通事故责任纠纷|被告-霍林郭勒市永兴建设集团有限公司,阳光财产保险股份有限公司天津市分公司|（2017）内0526民初2386号|https://www.tianyancha.com/lawsuit/e97059c9425b11e8b0207cd30ae00c08
2017-12-27|霍林郭勒市永兴建设集团有限公司与北京燕中石化有限公司建设工程施工合同纠纷一审民事裁定书|建设工程施工合同纠纷|原告-霍林郭勒市永兴建设集团有限公司被告-石化有限公司|（2017）内0502民初248号|https://www.tianyancha.com/lawsuit/977181ae92a211e8a8b47cd30ae00894
2017-12-25|霍林郭勒市永兴建设集团有限公司与王守明、杨世清建设工程施工合同纠纷二审民事判决书|建设工程施工合同纠纷|上诉人-霍林郭勒市永兴建设集团有限公司|（2017）内05民终1137号|https://www.tianyancha.com/lawsuit/3e25ffd3958311e8a8b47cd30ae00894
2017-12-13|霍林郭勒市人力资源和社会保障局申请执行霍林郭勒市永兴建设集团有限公司行政非诉纠纷执行裁定书|-|被执行人-霍林郭勒市永兴建设集团有限公司|（2017）内0581执192号|https://www.tianyancha.com/lawsuit/70741b30044511e881ec008cfaf870e0
2017-12-05|通辽经济技术开发区河西镇华远建筑器材租赁站与霍林郭勒市永兴建设集团有限公司、霍林郭勒市永兴建设集团有限公司宝龙山镇利云花园小区项目部建筑设备租赁合同纠纷一审民事裁定书|建筑设备租赁合同纠纷|原告-通辽经济技术开发区河西镇华远建筑器材租赁站被告-霍林郭勒市永兴建设集团有限公司|（2017）内0502民初1821号|https://www.tianyancha.com/lawsuit/d3a8e3113c2611e8b0207cd30ae00c08
2017-11-16|霍林郭勒市永兴建设集团有限公司、通辽经济技术开发区河西镇海旺建筑器材租赁站租赁合同纠纷再审审查与审判监督民事裁定书|租赁合同纠纷|再审申请人-霍林郭勒市永兴建设集团有限公司被申请人-通辽经济技术开发区河西镇海旺建筑器材租赁站,巴林左旗华利房地产开发有限责任公司,通辽市科尔沁区和平路西拉木伦酒店|（2017）冀民申1302号|https://www.tianyancha.com/lawsuit/affeff493b2211e8b0207cd30ae00c08
2017-11-06|霍林郭勒市永兴建设集团有限公司与郭金生劳动争议一审民事裁定书|劳动争议|原告-霍林郭勒市永兴建设集团有限公司|（2014）霍民初字第350号|https://www.tianyancha.com/lawsuit/9e28de0f05da11e881ec008cfaf870e0
2017-11-06|霍林郭勒市永兴建设集团有限公司与霍林郭勒宏鑫建筑器材租赁有限公司、被告内蒙古永兴公司锦联铝材工程项目部建筑设备租赁合同纠纷二审民事裁定书|建筑设备租赁合同纠纷|上诉人-霍林郭勒市永兴建设集团有限公司被上诉人-霍林郭勒宏鑫建筑器材租赁有限公司|（2017）内05民终1065号|https://www.tianyancha.com/lawsuit/1b50d7bef2fc11e788a5008cfaf8725a
2017-10-24|霍林郭勒市天原置业有限责任公司与霍林郭勒市永兴建设集团有限公司、杨志杰特别程序民事裁定书|-|申请人-霍林郭勒市天原置业有限责任公司被申请人-霍林郭勒市永兴建设集团有限公司|（2017）内05民特1号|https://www.tianyancha.com/lawsuit/8f20c0373fdd11e8b0207cd30ae00c08
2017-07-27|中国农业银行股份有限公司霍林郭勒市支行与杨广军、李凤丽等金融借款合同纠纷一审民事判决书|金融借款合同纠纷|原告-中国农业银行股份有限公司霍林郭勒市支行被告-霍林郭勒市永兴建设集团有限公司|（2016）内0581民初1571号|https://www.tianyancha.com/lawsuit/f767dfd398e611e788a5008cfaf8725a
2017-06-30|于永海、佟杰平、李东与霍林郭勒市永兴建设集团有限公司、刘仁波合伙纠纷一审民事裁定书|-|被告-霍林郭勒市永兴建设集团有限公司|（2017）吉0302民初99号|https://www.tianyancha.com/lawsuit/f75ce13598e611e788a5008cfaf8725a
2017-05-26|王守明诉霍林郭勒市永兴建设集团有限公司建设工程施工合同纠纷一审民事裁定书|建设工程施工合同纠纷|被告-霍林郭勒市永兴建设集团有限公司|（2016）内0581民初2193号|https://www.tianyancha.com/lawsuit/bea56b3f35244fafb515fd9b47be3d98
2017-05-26|霍林郭勒市永钜水泥制品有限公司申请执行霍林郭勒市永兴建设集团有限公司买卖合同纠纷一案执行裁定书|买卖合同纠纷|申请执行人-霍林郭勒市永钜水泥制品有限公司被执行人-霍林郭勒市永兴建设集团有限公司|（2016）内0581执964号|https://www.tianyancha.com/lawsuit/8c70d82f152c4f48aca1730b0bceddcf
2016-12-09|霍林郭勒市永钜水泥制品有限公司诉被告霍林郭勒市永兴建设集团有限公司买卖合同纠纷一案执行裁定书|买卖合同纠纷|被执行人-霍林郭勒市永兴建设集团有限公司|（2016）内0581执625号|https://www.tianyancha.com/lawsuit/96d59df641094b97803d4c8e6036b568
2016-12-05|孟祥里申请执行史相臣借款合同纠纷一案执行裁定书|借款合同纠纷|被执行人-霍林郭勒市永兴建设集团有限公司|（2016）内0581执538号|https://www.tianyancha.com/lawsuit/0e99ed738f4a41b8bda4ef2da41b564e
2016-11-21|霍林郭勒宏鑫建筑器材租赁有限公司申请执行霍林郭勒市永兴建设集团有限公司租赁合同纠纷一案执行裁定书|租赁合同纠纷|申请执行人-霍林郭勒宏鑫建筑器材租赁有限公司被执行人-霍林郭勒市永兴建设集团有限公司|（2016）内0581执字1022号|https://www.tianyancha.com/lawsuit/8130b520a2a846448e550059b33c320a
2016-10-31|霍林郭勒市永钜水泥制品有限公司申请执行霍林郭勒市永兴建设集团有限公司买卖合同纠纷一案执行裁定书|买卖合同纠纷|被执行人-霍林郭勒市永兴建设集团有限公司|（2016）内0581执625号|https://www.tianyancha.com/lawsuit/2869edd382c34a5d9a08dfa1fa65185a
2016-09-09|王欢、孟祥里与霍林郭勒市永兴建设集团有限公司劳动争议纠纷二审民事判决书|劳动争议|被上诉人-霍林郭勒市永兴建设集团有限公司|（2016）内05民终303号|https://www.tianyancha.com/lawsuit/8e791e4c39cd488eae2607e41a8d1ac5
2016-08-11|王欢申请执行永兴建设集团有限公司租赁合同纠纷一案执行裁定书|租赁合同纠纷|被执行人-霍林郭勒市永兴建设集团有限公司|（2016）内0581执538之二号|https://www.tianyancha.com/lawsuit/e48ae91fdd4d49eca98f1664c8b83530
2016-08-11|孟祥里申请执行霍林郭勒市永兴建设集团有限公司租赁合同纠纷一案执行裁定书|租赁合同纠纷|被执行人-霍林郭勒市永兴建设集团有限公司|（2016）内0581执538之一号|https://www.tianyancha.com/lawsuit/9ba66c967fdb4e788a6ca86678286fb0
2016-07-06|霍林郭勒市永兴建设集团有限公司王子元劳动争议纠纷二审民事裁定书|劳动争议|上诉人-霍林郭勒市永兴建设集团有限公司|（2016）内05终716号|https://www.tianyancha.com/lawsuit/4160841a2b11402eaa6f4f95a3962a0a
